Ingredient,Rating,Description,Categories,Further information
"ascorbyl glucosamine",Best,"Form of vitamin C that has little research showing it has the antioxidant or skin-lightening...","Antioxidants, Vitamins",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/ascorbyl-glucosamine
"ascorbyl glucoside",Best,"Form of vitamin C combined with glucose. It can function as an antioxidant, but only minimal...","Antioxidants, Vitamins",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/ascorbyl-glucoside
"ascorbyl methylsilanol pectinate",Best,"Form of vitamin C that is considered stable and that functions as an antioxidant and thickening...","Antioxidants, Thickeners/Emulsifiers, Vitamins",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/ascorbyl-methylsilanol-pectinate
"ascorbyl palmitate",Best,"Stable and nonacidic form of vitamin C that is effective as an antioxidant (Source: Biochemical and...","Antioxidants, Vitamins",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/ascorbyl-palmitate
"asparagine",Good,"See amino acid","Antioxidants",
"Asparagopsis armata extract",Good,"Extract derived from seaweed.","Antioxidants, Plant Extracts, Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/asparagopsis-armata-extract
"aspartic acid",Good,"See amino acid","Antioxidants, Skin-Identical/Repairing Ingredients",
"astaxanthin",Best,"See astaxanthin extract","Antioxidants",
"astaxanthin extract",Best,"Carotenoid (carotene pigment) found in plants, algae, and fish, particularly salmon, that functions...","Antioxidants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/astaxanthin-extract
"Astragalus membranaceus",Best,"Latin name for the Chinese herb Huang-Qi, also known as milk vetch.","Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/astragalus-membranaceus
"Astragalus sinicus",Good,"See milk vetch root","Antioxidants, Plant Extracts",
"Astrocaryum murumuru seed butter",Good,"A non-fragrant vegetable fat that's nearly solid at room temperature (much like dairy butter). It functions as an emollient ingreident that works to keep...","Plant Extracts, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/emollients/astrocaryum-murumuru-seed-butter
"atelocollagen",Good,"The protein obtained when telopeptides are enzymatically removed from animal- or plant-derived collagen. Functions as a water-binding agent...","",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/atelocollagen
"ATP",Best,"See adenosine triphosphate","Anti-Irritants, Cell-Communicating Ingredients",
"Atractyloydes lancea root extract",Average,"Also known as Chinese Thistle Daisy, this root extract is used in Chinese and Japanese alternative...","Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/atractyloydes-lancea-root-extract
"Avena sativa",Best,"Oat plant. Oat extract can have anti-irritant and anti-inflammatory properties (Source: Skin...","Anti-Irritants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/avena-sativa
"avobenzone",Best,"Synthetic sunscreen ingredient (also known as Parsol 1789 and butyl methoxydibenzoylmethane) that...","Sunscreen Actives",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/sunscreen-actives/avobenzone
"avocado oil",Best,"Emollient oil similar to other nonfragrant plant oils. It has antioxidant properties.","Antioxidants, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/avocado-oil
"awapuhi",Poor,"English name for wild ginger.","Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/awapuhi
"Azadirachta indica",Poor,"See neem extract or oil","Plant Extracts, Antibacterial/Anti-Acne",
"azelaic acid",Best,"Trade name Azelex and available by prescription; a component of grains such as wheat, rye, and...","Prescription Drugs",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/prescription-drugs/azelaic-acid
"Azelex",Best,"See azelaic acid","Prescription Drugs",
"azuki beans",Average,"Legumes that are often ground up for use in skin-care scrub products.","Scrub Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/scrub-agents/azuki-beans
"azulene",Average,"Chamomile extract used primarily as a coloring agent in cosmetics. It can have antioxidant and...","Anti-Irritants, Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/azulene
"babassu oil",Good,"Plant oil that can have emollient properties for skin. There is no research showing it has special...","Plant Extracts, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/babassu-oil
"Bacillus subtilis",Good,"Naturally occurring bacterium that is widespread and can be used to control plant diseases, fungal...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/bacillus-subtilis
"bakuchiol",Good,"An antioxidant found in the seeds and leaves of the plant Psoralea corylifolia...","Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/bakuchiol
"balm mint extract",Poor,"Extract derived from a fragrant plant; it poses some risk of skin irritation. It also has some...","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/balm-mint-extract
"balsam peru",Poor,"Fatty resin that when applied topically can cause allergic skin reactions and contact dermatitis....","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/balsam-peru
"banana extract",Average,"Extract from banana fruit that has some weak antioxidant properties (Source: Free Radical Research,...","Antioxidants, Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/banana-extract
"barberry",Best,"Plant whose primary component, berberine, is an alkaloid that can have antibacterial properties and...","Anti-Irritants, Antibacterial/Anti-Acne",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/barberry
"barium sulfate",Poor,"Mineral used as a whitening agent in cosmetics. It can be a skin irritant.","Coloring Agents/Pigments, Irritants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/coloring-agents-pigments/barium-sulfate
"barley extract",Average,"Extract from barley plants. Can have antioxidant properties when ingested, but there is no research...","Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/barley-extract
"batyl alcohol",Good,"Derived from glycerin and used as a stabilizing ingredient and skin-conditioning agent.","Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/emollients/batyl-alcohol
"bay leaf oil",Poor,"Can be a potent antioxidant (Source: Biological and Pharmaceutical Bulletin, January 2002, pages...","Antioxidants, Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/bay-leaf-oil
"bearberry extract",Good,"Latin name Arctostaphylos uva ursi, there is research showing that this extract has antibacterial...","Antibacterial/Antioxidants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antibacterial-antioxidants/bearberry-extract
"bee pollen",Poor,"Can have antioxidant properties (Source: Journal of Agricultural Food Chemistry, April 2001, pages...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/bee-pollen
"beeswax",Good,"Substance made by bees to build the walls of their honeycomb. It is a thickening agent that has...","Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/beeswax
"beet root extract",Good,"Powdered base of the stem (root) of the Beta vulgaris plant. Used as a coloring agent. As with most...","Antioxidants, Plant Extracts, Coloring Agents/Pigments",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/beet-root-extract
"behenic acid",Good,"Fatty acid used as a thickening agent and surfactant.","Thickeners/Emulsifiers, Surfactants/Detergent Cleansing Agents",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/behenic-acid
"behentrimonium chloride",Good,"Skin-conditioning agent and emulsifier.","Thickeners/Emulsifiers, Emollients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/behentrimonium-chloride
"behenyl alcohol",Good,"Thickening agent used in cosmetics. It is not related to irritating forms of alcohol.","Thickeners/Emulsifiers",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/thickeners-emulsifiers/behenyl-alcohol
"Bellis perennis",Poor,"See daisy flower extract","Plant Extracts",
"bentonite",Good,"Type of clay that is used as an absorbent in cosmetics. It can be drying for skin, though its...","Absorbent",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/absorbent/bentonite
"benzalkonium chloride",Average,"Antimicrobial agent used as a preservative in skin-care products. There is no research showing it...","Antibacterial/Anti-Acne",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antibacterial-anti-acne/benzalkonium-chloride
"benzephenone-3",Good,"Also called oxybenzone, a sunscreen agent that protects skin primarily from the sun’s UVB rays and...","Sunscreen Actives",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/sunscreen-actives/benzephenone-3
"benzocaine",Good,"Topical anesthetic (Sources: Dermatol Surgery, December 2001, pages 1010–1018; and Pediatric...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/benzocaine
"benzoic acid",Good,"Preservative used in skin-care products; it is considered less irritating than some other forms of...","Preservatives",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/preservatives/benzoic-acid
"benzoin extract",Poor,"Balsam resin that has some disinfecting and fragrant properties; it may also be a skin irritant...","Fragrance: Synthetic and Fragrant Plant Extracts, Antibacterial/Anti-Acne",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/fragrance-synthetic-and-plant-extracts/benzoin-extract
"benzophenone",Good,"Group of compounds used in cosmetics as sunscreen agents to protect mostly from UVB radiation and...","Sunscreen Actives",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/sunscreen-actives/benzophenone
"benzothonium chloride",Good,"Compound used as a preservative in cosmetics. It is generally considered less irritating than some...","Preservatives",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/preservatives/benzothonium-chloride
"benzoyl peroxide",Best,"Considered the most effective over-the-counter choice for a topical antibacterial agent in the...","Antibacterial/Anti-Acne",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antibacterial-anti-acne/benzoyl-peroxide
"benzyl alcohol",Average,"See alcohol","Miscellaneous",
"Berberis aristata",Best,"See barberry","Plant Extracts, Antibacterial/Anti-Acne",
"bergamot oil",Poor,"A volatile citrus oil that, when used topically, is a photosensitizer and has photomutagenic...","Plant Extracts, Fragrance: Synthetic and Fragrant Plant Extracts",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/plant-extracts/bergamot-oil
"Bertholletia excelsa extract",Good,"See Brazil nut extract","Antioxidants, Plant Extracts",
"beta hydroxy acid",Best,"See salicylic acid","Anti-Irritants, Antioxidants, Leave-On Exfoliant, Antibacterial/Anti-Acne",
"Beta vulgaris root extract",Good,"See beet root extract","Antioxidants, Plant Extracts, Coloring Agents/Pigments",
"beta-carotene",Good,"Member of the carotenoid family. There are hundreds of carotenoids, including lycopene and lutein....","Antioxidants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/beta-carotene
"beta-glucan",Best,"Polysaccharide, meaning that it is a sugar (e.g., starch and cellulose) that can be derived from...","Anti-Irritants, Antioxidants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/beta-glucan
"beta-sitosterol",Best,"Plant extract, similar to cholesterol, that can have antimicrobial properties (Source: Journal of...","Anti-Irritants, Plant Extracts, Skin-Identical/Repairing Ingredients",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/anti-irritants/beta-sitosterol
"Betula alba",Good,"See birch bark extract","Antioxidants, Plant Extracts",
"BHA (beta hydroxy acid)",Best,"See salicylic acid","Anti-Irritants, Leave-On Exfoliant, Antibacterial/Anti-Acne",
"BHT",Average,"Butylated hydroxytoluene, a potent synthetic antioxidant that also has carcinogenic properties when...","Antioxidants",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/antioxidants/bht
"bifida ferment lysate",Average,"Type of gram-positive bacteria found in the digestive system. It has no known effect on skin when...","Miscellaneous",http://www.paulaschoice.com/cosmetic-ingredient-dictionary/definition/miscellaneous/bifida-ferment-lysate
